timestamp,weight
04_05_2022_20_17_17,565.00,
04_05_2022_20_17_18,565.01,
04_05_2022_20_17_20,565.00,
04_05_2022_20_17_21,565.00,
04_05_2022_20_17_22,565.00,
04_05_2022_20_17_23,564.98,
04_05_2022_20_17_25,564.99,
04_05_2022_20_17_26,564.98,
04_05_2022_20_17_27,564.97,
04_05_2022_20_17_29,565.02,
04_05_2022_20_17_30,565.00,
04_05_2022_20_17_31,565.00,
04_05_2022_20_17_33,564.99,
04_05_2022_20_17_34,565.00,
04_05_2022_20_17_35,564.99,
04_05_2022_20_17_36,565.00,
04_05_2022_20_17_38,564.99,
04_05_2022_20_17_39,565.03,
04_05_2022_20_17_40,565.00,
04_05_2022_20_17_42,565.02,
04_05_2022_20_17_43,564.98,
04_05_2022_20_17_44,564.99,
04_05_2022_20_17_45,564.97,
04_05_2022_20_17_47,564.99,
04_05_2022_20_17_48,565.00,
04_05_2022_20_17_49,564.99,
04_05_2022_20_17_51,565.02,
04_05_2022_20_17_52,564.99,
04_05_2022_20_17_53,564.99,
04_05_2022_20_17_54,564.98,
04_05_2022_20_17_56,565.02,
04_05_2022_20_17_57,564.98,
04_05_2022_20_17_58,565.00,
04_05_2022_20_18_00,564.98,
04_05_2022_20_18_01,564.99,
04_05_2022_20_18_02,565.00,
04_05_2022_20_18_04,565.00,
04_05_2022_20_18_05,564.96,
04_05_2022_20_18_06,564.98,
04_05_2022_20_18_07,564.98,
04_05_2022_20_18_09,565.01,
04_05_2022_20_18_10,565.02,
04_05_2022_20_18_11,565.00,
04_05_2022_20_18_12,564.98,
04_05_2022_20_18_14,565.00,
04_05_2022_20_18_15,565.01,
04_05_2022_20_18_16,564.99,
04_05_2022_20_18_18,564.97,
04_05_2022_20_18_19,564.98,
04_05_2022_20_18_20,564.98,
04_05_2022_20_18_22,565.01,
04_05_2022_20_18_23,565.03,
04_05_2022_20_18_24,565.01,
04_05_2022_20_18_26,564.98,
04_05_2022_20_18_27,564.99,
04_05_2022_20_18_28,565.01,
04_05_2022_20_18_29,564.99,
04_05_2022_20_18_31,564.99,
04_05_2022_20_18_32,565.00,
04_05_2022_20_18_33,565.01,
04_05_2022_20_18_35,565.00,
04_05_2022_20_18_36,564.98,
04_05_2022_20_18_37,565.00,
04_05_2022_20_18_38,565.00,
04_05_2022_20_18_40,565.01,
04_05_2022_20_18_41,564.99,
04_05_2022_20_18_42,565.00,
04_05_2022_20_18_44,565.01,
04_05_2022_20_18_45,565.00,
04_05_2022_20_18_46,565.01,
04_05_2022_20_18_47,565.01,
04_05_2022_20_18_49,564.96,
04_05_2022_20_18_50,565.00,
04_05_2022_20_18_51,565.01,
04_05_2022_20_18_53,565.02,
04_05_2022_20_18_54,565.00,
04_05_2022_20_18_55,565.00,
04_05_2022_20_18_56,564.99,
04_05_2022_20_18_58,565.00,
04_05_2022_20_18_59,565.00,
04_05_2022_20_19_00,564.98,
04_05_2022_20_19_02,565.01,
04_05_2022_20_19_03,564.99,
04_05_2022_20_19_04,564.99,
04_05_2022_20_19_06,564.98,
04_05_2022_20_19_07,565.00,
04_05_2022_20_19_08,565.01,
04_05_2022_20_19_09,565.01,
04_05_2022_20_19_11,564.96,
04_05_2022_20_19_12,564.99,
04_05_2022_20_19_13,565.00,
04_05_2022_20_19_15,565.01,
04_05_2022_20_19_16,564.99,
04_05_2022_20_19_17,564.99,
04_05_2022_20_19_19,564.99,
04_05_2022_20_19_20,564.98,
04_05_2022_20_19_21,565.01,
04_05_2022_20_19_22,564.97,
04_05_2022_20_19_24,565.00,
04_05_2022_20_19_25,564.98,
04_05_2022_20_19_26,565.00,
04_05_2022_20_19_28,565.02,
04_05_2022_20_19_29,564.99,
04_05_2022_20_19_30,564.98,
04_05_2022_20_19_31,565.00,
04_05_2022_20_19_33,565.00,
04_05_2022_20_19_34,564.97,
04_05_2022_20_19_35,565.00,
04_05_2022_20_19_36,565.00,
04_05_2022_20_19_38,565.00,
04_05_2022_20_19_39,564.99,
04_05_2022_20_19_40,564.98,
04_05_2022_20_19_42,564.98,
04_05_2022_20_19_43,564.99,
04_05_2022_20_19_44,565.01,
04_05_2022_20_19_45,564.98,
04_05_2022_20_19_47,565.02,
04_05_2022_20_19_48,565.01,
04_05_2022_20_19_49,564.99,
04_05_2022_20_19_51,565.02,
04_05_2022_20_19_52,564.97,
04_05_2022_20_19_53,565.03,
04_05_2022_20_19_54,564.99,
04_05_2022_20_19_56,564.97,
04_05_2022_20_19_57,565.01,
04_05_2022_20_19_58,565.00,
04_05_2022_20_20_00,565.02,
04_05_2022_20_20_01,565.00,
04_05_2022_20_20_02,565.00,
04_05_2022_20_20_03,564.98,
04_05_2022_20_20_05,565.01,
04_05_2022_20_20_06,564.97,
04_05_2022_20_20_07,564.98,
04_05_2022_20_20_09,564.98,
04_05_2022_20_20_10,564.99,
04_05_2022_20_20_11,565.00,
04_05_2022_20_20_13,564.98,
04_05_2022_20_20_14,565.01,
04_05_2022_20_20_15,564.99,
04_05_2022_20_20_16,565.02,
04_05_2022_20_20_18,564.98,
04_05_2022_20_20_19,564.98,
04_05_2022_20_20_20,565.00,
04_05_2022_20_20_22,565.00,
04_05_2022_20_20_23,564.99,
04_05_2022_20_20_24,565.00,
04_05_2022_20_20_25,564.98,
04_05_2022_20_20_27,564.99,
04_05_2022_20_20_28,565.00,
04_05_2022_20_20_29,565.02,
04_05_2022_20_20_31,565.00,
04_05_2022_20_20_32,564.99,
04_05_2022_20_20_33,564.97,
04_05_2022_20_20_34,565.00,
04_05_2022_20_20_36,565.00,
04_05_2022_20_20_37,565.00,
04_05_2022_20_20_38,564.98,
04_05_2022_20_20_40,565.00,
04_05_2022_20_20_41,565.00,
04_05_2022_20_20_42,564.98,
04_05_2022_20_20_44,564.98,
04_05_2022_20_20_45,565.01,
04_05_2022_20_20_46,565.02,
04_05_2022_20_20_47,565.00,
04_05_2022_20_20_49,564.99,
04_05_2022_20_20_50,564.98,
04_05_2022_20_20_51,565.00,
04_05_2022_20_20_53,564.98,
04_05_2022_20_20_54,565.00,
04_05_2022_20_20_55,564.99,
04_05_2022_20_20_57,564.99,
